run_id,model,backbone,variant,scope,stratum,metric,value,ci_low,ci_high,status,profile,seed,git_sha,config_hash,total_parameters,trainable_parameters
baseline__scratch__none__in_rover__seed1414__windows_cpu__eb4c1e5f,baseline,none,scratch,ALL,all,miou,0.05597769595010467,,,ok,windows_cpu,1414,711628e05d5d64947e98532e45dbab03bf1a0607,eb4c1e5f7b839f23ff7b6f22ee5e3f429d6e91e9b4fa7c34d22f6e8096c5c965,,
baseline__scratch__none__in_rover__seed1414__windows_cpu__eb4c1e5f,baseline,none,scratch,ALL,all,n,322.0,,,ok,windows_cpu,1414,711628e05d5d64947e98532e45dbab03bf1a0607,eb4c1e5f7b839f23ff7b6f22ee5e3f429d6e91e9b4fa7c34d22f6e8096c5c965,,
baseline__scratch__none__in_rover__seed1414__windows_cpu__eb4c1e5f,baseline,none,scratch,soil,per_class,iou,0.0,,,ok,windows_cpu,1414,711628e05d5d64947e98532e45dbab03bf1a0607,eb4c1e5f7b839f23ff7b6f22ee5e3f429d6e91e9b4fa7c34d22f6e8096c5c965,,
baseline__scratch__none__in_rover__seed1414__windows_cpu__eb4c1e5f,baseline,none,scratch,bedrock,per_class,iou,0.22391078380041868,,,ok,windows_cpu,1414,711628e05d5d64947e98532e45dbab03bf1a0607,eb4c1e5f7b839f23ff7b6f22ee5e3f429d6e91e9b4fa7c34d22f6e8096c5c965,,
baseline__scratch__none__in_rover__seed1414__windows_cpu__eb4c1e5f,baseline,none,scratch,sand,per_class,iou,0.0,,,ok,windows_cpu,1414,711628e05d5d64947e98532e45dbab03bf1a0607,eb4c1e5f7b839f23ff7b6f22ee5e3f429d6e91e9b4fa7c34d22f6e8096c5c965,,
baseline__scratch__none__in_rover__seed1414__windows_cpu__eb4c1e5f,baseline,none,scratch,big_rock,per_class,iou,0.0,,,ok,windows_cpu,1414,711628e05d5d64947e98532e45dbab03bf1a0607,eb4c1e5f7b839f23ff7b6f22ee5e3f429d6e91e9b4fa7c34d22f6e8096c5c965,,
baseline__scratch__none__in_rover__seed1414__windows_cpu__eb4c1e5f,baseline,none,scratch,ALL,all,pixel_acc,0.22391078380041868,,,ok,windows_cpu,1414,711628e05d5d64947e98532e45dbab03bf1a0607,eb4c1e5f7b839f23ff7b6f22ee5e3f429d6e91e9b4fa7c34d22f6e8096c5c965,,
baseline__scratch__none__in_rover__seed1414__windows_cpu__eb4c1e5f,baseline,none,scratch,ALL,all,boundary_f1,0.26142920130539077,,,ok,windows_cpu,1414,711628e05d5d64947e98532e45dbab03bf1a0607,eb4c1e5f7b839f23ff7b6f22ee5e3f429d6e91e9b4fa7c34d22f6e8096c5c965,,
tiny_unet__scratch__none__in_rover__seed1414__gpu_full__b88a4624__gitc188b320__codebebd8b2d__20260710T213637673936Z,tiny_unet,none,scratch,ALL,all,miou,0.6794741039881287,0.648663814893277,0.7188831984089497,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,b88a46247b54170c6a8c7f43c76bd23eaec0fd4c3c9f858cef7e09843fdde098,117412.0,117412.0
tiny_unet__scratch__none__in_rover__seed1414__gpu_full__b88a4624__gitc188b320__codebebd8b2d__20260710T213637673936Z,tiny_unet,none,scratch,ALL,all,n,322.0,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,b88a46247b54170c6a8c7f43c76bd23eaec0fd4c3c9f858cef7e09843fdde098,117412.0,117412.0
tiny_unet__scratch__none__in_rover__seed1414__gpu_full__b88a4624__gitc188b320__codebebd8b2d__20260710T213637673936Z,tiny_unet,none,scratch,soil,per_class,iou,0.9253692359847406,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,b88a46247b54170c6a8c7f43c76bd23eaec0fd4c3c9f858cef7e09843fdde098,117412.0,117412.0
tiny_unet__scratch__none__in_rover__seed1414__gpu_full__b88a4624__gitc188b320__codebebd8b2d__20260710T213637673936Z,tiny_unet,none,scratch,bedrock,per_class,iou,0.8290173031967734,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,b88a46247b54170c6a8c7f43c76bd23eaec0fd4c3c9f858cef7e09843fdde098,117412.0,117412.0
tiny_unet__scratch__none__in_rover__seed1414__gpu_full__b88a4624__gitc188b320__codebebd8b2d__20260710T213637673936Z,tiny_unet,none,scratch,sand,per_class,iou,0.8783192810166065,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,b88a46247b54170c6a8c7f43c76bd23eaec0fd4c3c9f858cef7e09843fdde098,117412.0,117412.0
